Agent,Synonyms
Parasorbic acid,"['5-Hydroxy-2-hexenoic acid lactone', '2-Hexenoic acid', '5-hydroxy-', 'lactone', 'Pyrano[3', '2-b]pyran', '2', '7-dioxabicyclo[3.2.1]octane', '3-Methyl-2-buten-1', '4-olide', '5-Hydroxy-2-hexenoic acid γ-lactone', 'DL-Parasorbic acid', 'alpha-Parasorbic acid', '5-hydroxy-2-hexenoic acid lactone', '2-Hexenoic acid', '5-hydroxy-', 'lactone', '(R*', 'S*)-', '5-hydroxy-2-hexenoic acid gamma-lactone', '2-Hexenoic acid', '5-hydroxy-', 'gamma-lactone', '(R*', 'S*)-', '(±)-5-Hydroxy-2-hexenoic acid lactone']"
Strontium-90 (see Fission products),"['90Sr', 'Sr-90', 'Radioactive strontium', 'Strontium isotope 90', 'Isotope of strontium 90', 'Radioactive isotope of strontium', 'Strontium radioisotope', 'Synthetic Strontium', 'Metastable Strontium', 'Artificial Strontium-90', 'Radiostrontium', 'Strontium radioisotope', 'Unstable strontium isotope', 'Strontium radio-isotope', '90Sr isotope']"
"4,4'-Methylenebis(2-chloroaniline) (MOCA)","['MBOCA', 'Bisamine', 'Curithane MOCA', 'Diamine M', 'Methylene bis ortho chloro aniline', 'Methylene bis(2-chloroaniline)', '4', ""4'-Methylene-bis-(2-chloroaniline)"", '4', ""4'-Methylenebis(2-chlorobenzenamine)"", '2', ""2'-Dichloro-4"", ""4'-diaminodiphenylmethane"", '3', ""3'-Dichloro-4"", ""4'-diaminodiphenylmethane"", '3', ""3'-Dichloro-4"", ""4'-methylenedianiline"", 'Bis(4-amino-3-chlorophenyl)methane', 'Bis(3-chloro-4-aminophenyl)methane', 'Methylene-bis-ortho-chloroaniline']"
Chloropropham,"['CIPC', 'Isopropyl carbanilate', 'isopropyl N-(3-chlorophenyl)carbamate', 'Chlorpropham', 'Chloroprophame', 'Chloroisopropylcarbanilate', 'Furloe', 'Sprout Nip', 'Bud Nip', 'Neo stop', 'Triherb CIPC', 'Taterpex', 'Tuberite', 'Unicrop CIPC', 'Spud-Nic']"
Dinitrosopentamethylenetetramine,"['Dinitrosopentamethylenetetramine', 'DNPT', 'Dinitrosopentamethylene tetramine', 'Dinitrosopentamethylentetramine', 'Dinitrosopentamethylene-tetramine', 'Dinitroso-pentamethylenetetramine', 'Hexamine dinitrate', 'Pentamethylene tetramine dinitrosamine', 'Pentamethylene tetramine dinitrate', 'Pentamethylenetetramine', 'dinitroso-', 'Pentamethylene tetramine dinitrosate', '1', '3-Dinitrosopentamethylenetetramine', 'Dinitrosopentamethylentetraamine', 'DNPTA', 'dinitrosopentametylenetetramin']"
"4,4'-Methylenediphenyl diisocyanate","['MDI', 'Diphenylmethane diisocyanate', 'Methylenebis(phenyl isocyanate)', '4', ""4'-Diphenylmethane diisocyanate"", '4', ""4'-MDI"", 'Isocyanic acid methylenebis(4-phenylene) ester', '1', ""1'-Methylenebis(4-isocyanatobenzene)"", 'Methylene bis(4-phenyl isocyanate)', 'Diisocyanatodiphenylmethane', 'Methylene diphenyl diisocyanate', '4', ""4'-methylene-bis-phenyl isocyanate"", '4', ""4'-methylene-bis(phenyl isocyanate)"", '4', '4-methylenediphenyl diisocyanate', '4', '4-methylenediphenylisocyanate', 'Diphenylmethane-4', ""4'-diisocyanate""]"
"4,4'-Methylenedianiline","['MDA', '4', ""4'-Diaminodiphenylmethane"", 'p', ""p'-Methylenedianiline"", 'Bis(4-aminophenyl)methane', 'p', ""p'-Diaminodiphenylmethane"", 'Methylenebis(aniline)', 'Diaminodiphenylmethane', '4', ""4'-Diamino diphenyl methane"", '4', ""4'-methylene-dianiline"", '4', '4-Diamino-diphenylmethane', '4', ""4'-Methylenedianilin"", '4', '4´-Methylenedianiline', '4', '4′-Diamino-diphenylmethane', '4', '4-methylenedianiline', '4', '4-Diamino-diphenyl-methane']"
"4,4'-Diaminodiphenyl ether","['4', ""4'-Oxydianiline"", '4', ""4'-Oxybis(aniline)"", 'Bis(4-aminophenyl) ether', '4', ""4'-oxydiphenylamine"", '4', '4-Diaminodiphenyl oxide', '4', ""4'-Diaminophenyl ether"", '4', ""4'-Oxybisbenzenamine"", 'p', ""p'-Diaminodiphenyl ether"", 'p', ""p'-Oxybis(aniline)"", '4', '4-Diamino-diphenyl ether', 'p-aminophenyl ether', '4', ""4'-diamino diphenylether"", '4', ""4'-diamino-diphenylether"", 'Diaminodiphenyl oxide', 'Diaminodiphenylether']"
Diglycidyl resorcinol ether,"['DGE-Resorcinol', '1', '3-Bis(2', '3-epoxypropoxy)benzene', 'Resorcinol diglycidyl ether', 'Diglycidyl ether of resorcinol', '1', '3-di(glycidyloxy)benzene', 'Resorcinol bis(glycidyl ether)', 'Resorcinol diglycidylether', 'DGER', 'Bis(2', '3-epoxypropyl)resorcinol', '1', '3-Bis(2', '3-epoxypropoxy)benzene', '1', '3-di(2', '3-epoxypropoxy)benzene', '1', '3-di(glycidyloxy) benzene', 'Resorcinol di-glycidyl ether', '1', '3-diglycidyloxybenzene', 'diglycidyl resorcinol ether']"
Microcystin-LR,"['MC-LR', 'Cyanoginosin-LR', 'Microcystin LR', 'Cyanobacterial toxin LR', 'Cyclic heptapeptide toxin', 'Cyanotoxin LR', 'Liver toxin LR', 'Hepatotoxin LR', 'Cyanobacteria toxin LR', 'Microcystis toxin LR', 'Toxin MC-LR', 'MCYST-LR', 'Cyanobacterial microcystin-LR', 'Cyanobacterial peptide LR', 'Cyclic heptapeptide microcystin-LR']"
meta-Cresidine,"['3-Amino-para-cresol methyl ether', '3-Amino-4-methoxytoluene', '6-Methoxy-m-toluidine', '5-Methyl-o-anisidine', '6-Methoxy-3-methylaniline', '6-Methoxy-3-toluidine', 'meta-Cresidin', 'm-Cresidine', '3-amino-4-methoxytoluene', '5-Methyl-ortho-anisidine', '3-Amino-6-methoxytoluene', '6-Methoxy-m-toluidine', '3-Amino-4-methoxy toluene', 'm-cresidine', '3-amino-p-cresol methyl ether']"
Triethanolamine,"['TEA', 'Tris(2-hydroxyethyl)amine', 'Triethylolamine', 'Triaethanolamine', '2', ""2'"", '2""-Nitrilotriethanol', 'Tris(hydroxyethyl)amine', 'Tris(β-hydroxyethyl)amine', 'Trolamine', 'Trihydroxytriethylamine', 'Daltogen', 'Sterolamide', 'TEAH', '2', ""2'"", ""2''-Nitrilotriethanol"", 'Nitrilotriethanol', 'Tri(hydroxyethyl)amine']"
Phenicarbazide,"['1-Phenylsemicarbazide', 'Phenylsemicarbazide', 'Semicarbazide', '1-phenyl-', 'N-Phenylsemicarbazide', 'Phenyl carbazide', 'phenylsemicarbazide', '1-Phenyl-semicarbazide', 'Semicarbazide', 'phenyl-', '1-Phenyl-semicarbazide', '1-Phenyl semicarbazide', 'Phenilsemicarbazida', 'N-fenylosemicarbazid', '1-fenylsemicarbazid', 'phenyl carbazide']"
2-Ethylhexyl acrylate,"['2-EHA', 'Ethylhexyl acrylate', 'Acrylic acid 2-ethylhexyl ester', '2-Ethylhexyl 2-propenoate', '2-Ethyl hexyl acrylate', '2-Ethyl hexyl propenoate', 'Ethylhexyl 2-propenoate', '2-Ethylhexyl ester of acrylic acid', '2-Ethyl hexyl ester of acrylic acid', 'Acrylic acid', '2-ethylhexyl ester', '2-Ethylhexylacrylate', 'Ethylhexyl-acrylate', '2-EHA monomer', '2-Ethylhexylaerylat', 'Acrylate 2-ethylhexyl']"
Di(2-ethylhexyl) adipate,"['DEHA', 'Bis(2-ethylhexyl) adipate', 'Dioctyl adipate', 'Adipic acid bis(2-ethylhexyl) ester', 'Bis(2-ethylhexyl)hexanedioate', '2-Ethylhexyl adipate', 'Bis(2-ethylhexyl) ester of adipic acid', 'Adipic acid dioctyl ester', 'Dioctyl ester of adipic acid', 'Di-(2-ethylhexyl)adipate', 'Adimoll DO', '2-Ethylhexyl-adipate', 'Hexanedioic acid bis(2-ethylhexyl) ester', 'DEHA plasticizer', 'Dioctyl-adipate']"
Azobenzene,"['Diphenyldiazene', 'Diazene', 'diphenyl-', 'Diphenyl diazenyl', 'Diphenyldiazine', 'Azobenzol', 'Diphenyl', 'azo-', 'Benzene', 'azobis-', 'Azodibenzene', 'Azo benzene', 'Azodiphenyl', 'Difenildiazen', 'Azobenzen', 'Diphenylazo', 'Azobenceno', 'azobenseno']"
Acetaminophen (see Paracetamol),"['Paracetamol', 'APAP', 'N-acetyl-para-aminophenol', 'N-acetyl-p-aminophenol', 'N-acetyl-4-aminophenol', 'Acetaminophene', 'Para-acetylaminophenol', '4-Hydroxyacetanilide', 'Acetylaminophenol', 'N-(4-Hydroxyphenyl)acetamide', 'N-Acetyl-p-amino-phenol', 'p-Acetamidophenol', 'N-Acetyl para aminophenol', 'N-Acetyl-p-aminophenol', '4-Acetamidophenol']"
Paracetamol (Acetaminophen),"['Acetaminophen', 'APAP', 'N-acetyl-para-aminophenol', 'N-acetyl-p-aminophenol', 'N-acetyl-4-aminophenol', 'Acetaminophene', 'Para-acetylaminophenol', '4-Hydroxyacetanilide', 'Acetylaminophenol', 'N-(4-Hydroxyphenyl)acetamide', 'N-Acetyl-p-amino-phenol', 'p-Acetamidophenol', 'N-Acetyl para aminophenol', 'N-Acetyl-p-aminophenol', '4-Acetamidophenol']"
Copper 8-hydroxyquinoline,"['Copper oxinate', 'Copper quinolate', 'Copper 8-quinolinolate', '8-Quinolinol copper complex', '8-Hydroxyquinoline copper', 'Copper(II) 8-hydroxyquinolate', '8-Hydroxyquinoline copper(II) salt', 'Bis(8-quinolinolato)copper(II)', 'Bis(8-hydroxyquinolinato)copper', 'Bis(8-hydroxyquinoline)copper', 'Copper(II) bis(8-quinolinolate)', 'Copper 8-quinolinolate complex', 'Copper(II) 8-hydroxyquinoline', 'Copper oxine', 'Oxine copper']"
para-Anisidine,"['p-Anisidine', '4-Methoxyaniline', 'p-Aminoanisole', '4-Aminoanisole', 'para-Methoxyaniline', 'p-Anisidin', '4-Methoxy-aniline', 'Anisidine', 'p-', 'Anisole', 'p-amino-', '4-Amino-anisole', 'Aniline', 'p-methoxy-', 'p-Anisylamine', '4-Amino-anisole', 'Anisole', '4-amino-', 'para-aminoanisole']"
Tacrolimus,"['FK-506', 'Fujimycin', 'Prograf', 'Protopic', 'Immunosuppressant FK-506', 'L-679934', 'Tacrolimusum', 'Tacrolimus anhydrous', '15R-tacrolimus', '15S-tacrolimus', 'Tacrolimus monohydrate', 'Tacrolimus USP', 'Tacrolimus PhEur', 'Protopic ointment', 'FK506', 'Immunosuppressant tacrolimus', 'Macrolide immunosuppressant']"
para-Benzoquinone dioxime,"['p-Benzoquinone dioxime', 'p-Quinone dioxime', 'Dioxime benzoquinone', 'Benzoquinone dioxime', 'Quinone dioxime', 'para-Dinitrosobenzene', '1', '4-Benzoquinone dioxime', 'Actinox', 'G-M-F', 'Dispergator P', 'Vulklor', 'p-Benzoquinone-dioxime', 'p-quinone-dioxime', 'p-Benzoquinone dioxime', 'para-quinonedioxime', 'para-Benzenedione dioxime', 'Benzoquinone-dioxime']"
"N,N'-Diethylthiourea","['DETU', '1', '3-Diethyl-2-thiourea', 'Diethylthiourea', 'N', ""N'-Diethylthiocarbamide"", 'Ethyldiethyldithiocarbamic acid', 'N', ""N'-Diethyl thiourea"", '1', '3-Diethylthiourea', 'N', 'N-Diethylthiourea', 'Diethylthio urea', 'N', 'N-diethylthiourea', 'N', ""N'-Diaethylthioharnstoff"", '1', '3-Diethyl-thiourea', 'N', 'N-diethyl-thiourea', 'Diethylthio-urea', '1', '3-diethylthiourea']"
Caprolactam,"['2-Oxohexamethylenimine', 'Aminohexanoic acid cyclic lactam', '6-Aminohexanoic acid cyclic lactam', 'Hexahydro-2H-azepin-2-one', '6-Hexanelactam', 'epsilon-Caprolactam', 'ε-Caprolactam', '2-Ketohexamethyleneimine', '6-Caprolactam', 'Azepan-2-one', 'Caprolactan', '6-Amino hexanoic acid cyclic lactam', 'Caprolactame', 'Epsilon-caprolactam', 'NSC 4477']"
Lauroyl peroxide,"['Dodecanoyl peroxide', 'Dilauroyl peroxide', 'Laurox', 'Lauroylperoxide', 'Peroxydodacane', 'Dodecanoylperoxide', 'Dodecanoic acid peroxide', 'Peroxide', 'didodecanoyl', 'Peroxydodecane', 'Didodecanoyl peroxide', 'Laurox W 40', 'Laurox W70', 'Didodecyl peroxide', 'Dodecanoic peroxide', 'Dodecanoyl peroxide']"
Tamoxifen,"['Nolvadex', 'Tamoxifen citrate', 'ICI-46474', '(Z)-Tamoxifen', 'Tamoxifenum', 'Nolvadex-D', 'Tamifen', 'Z-Tamoxifen', 'Tamoxifen base', 'Zitazonium', 'Tamoxasta', 'Valodex', 'Antiestrogen', 'Antihormone', 'Selective Estrogen Receptor Modulator (SERM)']"
"PhIP (2-Amino-1-methyl-6-phenylimidazo[4,5-b]pyridine)","['2-Amino-1-methyl-6-phenylimidazo pyridine', 'PhIP', '2-Amino-1-methyl-6-phenylimidazo[4', '5-b]pyridine', '2-Amino-1-methyl-6-phenylimidazole', '2-Amino-1-methyl-6-phenylimidazo[4', '5]pyridine', '2-Amino-1-methyl-6-phenyl-imidazo[4', '5-b]pyridine', '2-Amino-1-methyl-6-phenyl imidazo pyridine', 'PhIP carcinogen', 'MeIQPh', '2-Amino-1-methyl-6-phenylimidazo[4', '5-b]pyridine', '2-amino-1-methyl-6-phenylimidazo(4', '5-b)pyridine', '2-Amino-1-methyl-6-phenylimidazo(4', '5-b)pyridine', '2-Amino-1-methyl-6-phenylimidazopyridine', 'PhIP metabolite', '2-Amino-1-methyl-6-phenylimidazole pyridine']"
"3,7-Dinitrofluoranthene","['3', '7-DNF', '3', '7-Dinitrofluoranthrene', '3', '7-Dinitro-fluoranthene', 'Dinitrofluoranthene', 'Nitrofluoranthene', 'Fluoranthene', '3', '7-dinitro-', '3', '7-dinitro fluoranthene', '3', '7-DNF', 'dinitrofluoranthene', 'Nitrofluoranthene isomer', '3', '7 Dinitrofluoranthene', '3', '7-Nitrofluoranthene', '3', '7-dinitro-fluoranthene', 'Fluoranthene', '3', '7-dinitro']"
N-Nitrosomethylethylamine,"['NMES', 'N-Methyl-N-ethylnitrosamine', 'Methylethylnitrosamine', 'N-Ethyl-N-methylnitrosamine', 'N-Nitrosomethyl ethylamine', 'Methyl ethyl nitrosamine', 'N-methyl-N-ethyl-nitrosamine', 'N-Nitroso-N-methylethylamine', 'N-nitroso-methylethylamine', 'N-Nitroso-N-ethylmethylamine', 'N-Ethylmethyl nitrosamine', 'N-Nitroso-methylethyl amine', 'N-Methyl ethyl nitrosamine', 'N-Methyl-N-ethyl nitrosamine', 'N-Ethyl-N-methyl-nitrosamine']"
Chloramine,"['Monochloramine', 'Chloramine T', 'Amino chlorohydride', 'Chlorammonia', 'Monochloroamine', 'NH2Cl', 'ClNH2', 'Chloroamine', 'Chloramin', 'Chloramine solution', 'Stabilized chloramine', 'Liquid chloramine', 'Gaseous chloramine', 'Preformed chloramine', 'Aqueous chloramine']"
para-Dichlorobenzene,"['1', '4-Dichlorobenzene', 'p-Dichlorobenzene', 'PDCB', 'Benzene', '1', '4-dichloro-', 'p-Dichlorobenzol', 'PDB', 'пара-Dихлорбензол', 'пара-Дихлорбензол', 'p-dichlorobenzene', 'para-dichlorobenzol', '1', '4-Dichloro-benzene', 'p-Dichlorobenzine', 'Dichlorobenzene', '1', '4-Dichlorobenzene', 'Benzene', 'dichloro']"
para-Chloroaniline,"['4-Chloroaniline', 'p-Chloroaniline', '4-Chlorobenzenamine', 'Benzenamine', '4-chloro-', 'para-Chloraniline', '4-Chlor-aniline', 'p-Chlor-aniline', 'p-Chloraniline', '4-chloro aniline', '4-Chloraminobenzene', '4-chloraminobenzene', 'p-Chlorbenzenamine', 'p-Chlorbenzeneamine', 'p-Chloro-aniline']"
para-Phenylenediamine,"['1', '4-Diaminobenzene', 'p-Phenylenediamine', '1', '4-Benzenediamine', 'p-Diaminobenzene', 'PPD', '4-Aminoaniline', 'para-Diaminobenzene', '4-Phenylenediamine', '4-Aminoaniline', 'P-phenylenediamine', '1', '4-diamino-benzene', 'Benzenediamine', '4-amino-aniline', '1', '4-Phenylenediamine', 'Benzofur PPD']"
para-Quinone,"['p-Quinone', 'Benzoquinone', '1', '4-Benzoquinone', 'Quinone', 'p-Benzoquinone', 'p-Benzenediione', '1', '4-Benzenediione', 'Cyclohexadienedione', '1', '4-Cyclohexadienedione', '2', '5-Cyclohexadiene-1', '4-dione', '1', '4-Benzochinon', 'p-benzoquinon', '1', '4-Bensochinon', 'para-benzochinone', '1', '4-benzo-quinone']"
4-Vinylcyclohexene diepoxide,"['Vinylcyclohexene dioxide', '4-Vinyl-1-cyclohexene diepoxide', 'Vinylcyclohexene di-epoxide', 'Vinylcyclohexene dioxide', '4-Vinyl-1-cyclohexene dioxide', '4-Vinylcyclohexene dioxide', 'VCD diepoxide', '4-vinylcyclohexene dioxide', 'Vinylcyclohexene di-oxide', '4-(Epoxyethyl)cyclohexene oxide', '4-(1', '2-Epoxyethyl)cyclohexene oxide', '4-(1', '2-Epoxyethyl)cyclohexene', 'VCD dioxide', '4-Vinyl-1-cyclohexenediepoxide', '4-vinyl-1-cyclohexene diepoxide']"
"1,2-Epoxybutane","['Butylene oxide', '1', '2-Butylene oxide', 'Ethyloxirane', '1', '2-Epoxy butane', 'Butane', '1', '2-epoxy-', '1', '2-Epoxy-butane', 'alpha-Butylene oxide', '1', '2-Butylenoxide', '1', '2-Epoxybutano', 'Butane oxide', '1', '2-Epoxy-butane', '1', '2 epoxy butane', 'Ethyloxiran', 'ethyloxirane']"
Epichlorohydrin,"['1-Chloro-2', '3-epoxypropane', '1-Chloro-2', '3-epoxy propane', '3-Chloro-1', '2-epoxypropane', 'Chloromethyloxirane', '(Chloromethyl)oxirane', '2-(Chloromethyl)oxirane', 'ECH', '3-Chloro-1', '2-propylene oxide', 'Glycidyl chloride', 'Allyl glycidyl ether', 'Epihydrin', 'Chloropropylene oxide', '(chloromethyl) oxirane', '3-Chloro-1', '2-epoxy-propane', '1-Chloro-2', '3-epoxy-propane', 'Chloromethyl oxirane']"
Glycidyl methacrylate,"['GMA', '2', '3-Epoxypropyl methacrylate', 'Methacrylic acid glycidyl ester', 'Glycidylmethacrylate', 'Methacrylic acid 2', '3-epoxypropyl ester', 'Methacrylic acid', 'glycidyl ester', 'GMA monomer', '2-Hydroxy-3-methacryloxypropyl glycidyl ether', '2', '3-Epoxy-1-propanol methacrylate', '2', '3-epoxypropyl 2-methyl-2-propenoate', '2', '3-Epoxypropyl 2-methylpropenoate', 'Methacrylic acid', '2', '3-epoxypropyl ester', 'Methacrylate glycidyl', 'Glycidyl-methacrylate', '2', '3-Epoxypropylmethacrylate']"
Ethylene dibromide,"['1', '2-Dibromoethane', 'EDB', 'Ethane dibromide', 'sym-Dibromoethane', 'Glycol dibromide', 'Etylenedibromide', '1', '2-Dibromo ethane', 'sym-Dibromethane', 'Ethylene bromide', 'Ethylene bromidum', 'Ethane', '1', '2-dibromo-', 'Dibromoethane', '1', '2-Dichlorethane', '1', '2-Dibromethane', '1', '2-Bibromoethane']"
1-Bromopropane,"['n-Propyl bromide', 'Propyl bromide', '1-BP', 'n-Bromopropane', 'Propane', '1-bromo-', '1-Bromo propane', 'n-propylbromide', '1-propylbromide', '1-Bromopropan', 'n-Bromopropano', 'n-propyl bromide', '1-Propyl bromide', '1 bromo propane', 'n-Propyl-bromide']"
"1,3-Butadiene","['Butadiene', 'Biethylene', 'Divinyl', 'Erythrene', 'Vinyl ethylene', 'Buta-1', '3-diene', 'Butadiene-1', '3', '1', '3-Butadiene', 'inhibited', '1-3-Butadiene', 'inhibited', 'Buta-1 3-diene', 'Butadiene dimer', '1', '3 Butadiene', '1', '3-butadiene', '1 3 Butadiene', 'Buta 1', '3 diene']"
Acrolein,"['2-Propenal', 'Acrylaldehyde', 'Acrylic aldehyde', 'Propenal', 'Propenaldehyde', 'Acroleine', 'Acrylaldehyd', 'Acrylaldehyde', 'prop-2-enal', '2-Propen-1-al', '2-Propenal', 'inhibited', 'Propylene aldehyde', 'Acryl aldehyde', 'Vinyl aldehyde', 'Ethylene aldehyde']"
Allyl chloride,"['3-Chloropropene', '3-Chloro-1-propene', 'Chlorallylene', '3-Chloroprop-1-ene', 'Chloropropylene', 'Chloropropene', 'Allylchlorid', '3-chloro-1-propene', '3-Chloro-1-propene', '3-Chlorpropen', 'Propenyl chloride', '3-chloro propene', '3-chloro-propene', '3-Chlor-1-propen', 'Allylchlorid']"
"1,2-Dichloroethane","['Ethylene dichloride', 'EDC', 'Ethane dichloride', '1', '2-DCE', 'Dichloroethane', 'Ethylene chloride', 'sym-Dichloroethane', 'Glycol dichloride', 'Dichlorethane', '1 2-Dichloroethane', 'sym-Dichlorethane', '1', '2-Dichloro-ethane', 'EDC (Ethylene dichloride)', '1', '2 Dichloroethane', 'Ethylene-dichloride']"
Acrylonitrile,"['Vinyl cyanide', '2-Propenenitrile', 'Cyanoethylene', 'Propenenitrile', 'Acrylon', 'Acrylic nitrile', 'Acrylnitril', 'Carbacryl', 'Vinylcyanide', '2-Propen-nitrile', '2-Propenenitril', 'Nitrile', 'Vinyl', '2-Propenenitril', 'Nitrile vinyl']"
Chloroacetonitrile,"['Chloromethyl cyanide', 'Chloroethanenitrile', 'Acetonitrile', 'chloro-', 'Chloroacetonitrile', 'Chloroethanonitrile', 'Chloromethylcyanide', 'Monochloroacetonitrile', 'Chloro-acetonitrile', 'alpha-Chloroacetonitrile', 'α-Chloroacetonitrile', '2-chloroacetonitrile', '2-Chloroacetonitrile', 'Chloroacetonitril', '2-Chloro-acetonitrile']"
Chloromethyl methyl ether (see Bis(chloromethyl)ether; chloromethyl methyl ether),"['Methyl chloromethyl ether', 'CMME', 'Methoxy chloromethane', 'Methylchloromethylether', 'Chloromethoxymethane']"
"Aloe vera, whole leaf extract",['<no synonym>']
Clonorchis sinensis (infection with),"['Chinese liver fluke infection', 'Oriental liver fluke infection', 'Endemic biliary parasitism', 'C. sinensis infestation', 'Fluke-borne disease', 'Helminthiasis', 'Parasitic cholangitis', 'Liver fluke disease', 'Clonorchiasis', 'Asian liver fluke infection', 'Liver fluke infestation', 'Biliary tract cancer risk', 'Cholangiocarcinoma risk', 'Trematode infection', 'Foodborne trematodiasis']"
"Fusarium graminearum, F. culmorum, and F. crookwellense, toxins derived from (zearalenone, deoxynivalenol, nivalenol, and fusarenone X)","['Fusarium mycotoxins', 'Grain mold toxins', 'Zearalenone producers', 'Deoxynivalenol producers', 'Nivalenol producers', 'Fusarenone X producers', 'Mycotoxin contamination', 'Fusarium toxins', 'DON', 'NIV', 'FUS-X', 'ZEA', 'Grain contaminants', 'Mold toxins', 'Feed contaminants']"
"Fusarium sporotrichioides, toxins derived from (T-2 toxin)","['T-2 mycotoxin', 'Trichothecene mycotoxin', 'Fusarium sporotrichioides toxins', 'Fungal toxin', 'Mycotoxin T-2', 'Grain toxin', 'Feed toxin', 'Fungal contaminant', 'T-2 toxin exposure', 'Fusarium toxin', 'Alimentary toxic aleukia toxin', 'ATA toxin', 'Fusarium poisoning agent', 'Skin irritant toxin', 'Immunosuppressive mycotoxin']"
Helicobacter pylori (infection with),"['H. pylori infection', 'Gastric ulcer bacterium', 'Stomach ulcer bacterium', 'Peptic ulcer disease', 'Bacterial gastritis', 'Gastroduodenal disease', 'H. pylori-associated gastritis', 'Helicobacteriosis', 'Campylobacter pylori', 'Gram-negative spiral bacterium', 'Gastric cancer risk factor', 'Stomach cancer risk factor', 'MALT lymphoma risk factor', 'Peptic ulcer risk factor', 'Chronic gastritis']"
Microcystis extracts,"['Cyanobacteria toxins', 'Blue-green algae toxins', 'Hepatotoxic peptides', 'Microcystin extracts', 'Algal bloom toxins', 'Cyanobacterial extracts', 'Toxic algal extracts', 'Freshwater algal toxins', 'Bloom forming algae toxins', 'Peptide hepatotoxins', 'MC extracts', 'Toxic cyanopeptides', 'Cyanotoxin extracts', 'Algal toxins', 'Harmful algal bloom toxins']"
Opisthorchis felineus (infection with),"['Cat liver fluke infection', 'European liver fluke infection', 'O. felineus infestation', 'Liver fluke disease', 'Fluke-borne disease', 'Helminthiasis', 'Parasitic cholangitis', 'Opisthorchiasis', 'Biliary tract cancer risk', 'Cholangiocarcinoma risk', 'Trematode infection', 'Foodborne trematodiasis', 'Parasitic liver disease', 'Helminth infection', 'Biliary cancer']"
Opisthorchis viverrini (infection with),"['Southeast Asian liver fluke infection', 'Thai liver fluke infection', 'O. viverrini infestation', 'Liver fluke disease', 'Fluke-borne disease', 'Helminthiasis', 'Parasitic cholangitis', 'Opisthorchiasis', 'Biliary tract cancer risk', 'Cholangiocarcinoma risk', 'Trematode infection', 'Foodborne trematodiasis', 'Parasitic liver disease', 'Helminth infection', 'Biliary cancer']"
Schistosoma haematobium (infection with),"['Bladder fluke infection', 'Urinary schistosomiasis', 'S. haematobium infestation', 'Bilharzia', 'Schistosomiasis', 'Fluke-borne disease', 'Helminthiasis', 'Parasitic disease', 'Schistosoma infection', 'Blood fluke infection', 'Urinary tract schistosomiasis', 'S. haematobium-related cancer', 'Squamous cell carcinoma of the bladder risk', 'Trematode infection', 'Parasitic bladder disease']"
Schistosoma japonicum (infection with),"['Oriental blood fluke infection', 'S. japonicum infestation', 'Schistosomiasis japonica', 'Blood fluke infection', 'Schistosomiasis', 'Fluke-borne disease', 'Helminthiasis', 'Parasitic disease', 'Schistosoma infection', 'Asian schistosomiasis', 'Chinese schistosomiasis', 'S. japonicum-related disease', 'Intestinal schistosomiasis', 'Trematode infection', 'Parasitic infection']"
Schistosoma mansoni (infection with),"['Intestinal schistosomiasis', 'S. mansoni infestation', ""Manson's schistosomiasis"", 'Blood fluke infection', 'Schistosomiasis', 'Fluke-borne disease', 'Helminthiasis', 'Parasitic disease', 'Schistosoma infection', 'S. mansoni-related disease', 'Liver fibrosis', 'Hepatosplenic schistosomiasis', 'Trematode infection', 'Parasitic infection', 'Schistosomiasis mansoni']"
"Acheson process, occupational exposure associated with","['Silicon carbide production', 'Synthetic graphite manufacture', 'Acheson graphite process', 'Carborundum production', 'Industrial exposure', 'Furnace operation', 'High-temperature process', 'Graphite electrode production', 'Silicon carbide process', 'Acheson furnace', 'Electrothermal process', 'Industrial graphite', 'Carborundum process', 'Occupational hazard', 'Graphite production']"
"Acid mists, strong inorganic","['Sulfuric acid mists', 'Hydrochloric acid mists', 'Nitric acid mists', 'Strong acid aerosols', 'Inorganic acid vapors', 'Corrosive mists', 'Irritant acid mists', 'Acidic aerosols', 'Hazardous acid mists', 'Respiratory irritants', 'Industrial acid mists', 'Acid fumes', 'Corrosive vapors', 'Inhalation hazard', 'Acid exposure']"
Acrylic fibres,"['Polyacrylic fibres', 'Acrylic textiles', 'Synthetic fibres', 'Polyacrylonitrile fibres', 'PAN fibres', 'Acrylic yarns', 'Acrylic fabrics', 'Synthetic textiles', 'Polymer fibres', 'Acrylic polymers', 'Man-made fibres', 'Textile fibres', 'Acrylic materials', 'Artificial fibres', 'Synthetic yarns']"
Acrylonitrile-butadiene-styrene copolymers,"['ABS plastics', 'ABS polymers', 'ABS resins', 'Thermoplastic polymers', 'Engineering plastics', 'Terpolymers', 'Styrene copolymers', 'ABS materials', 'Synthetic polymers', 'Plastic resins', 'Acrylonitrile copolymers', 'Butadiene copolymers', 'Styrene polymers', 'ABS compounds', 'Polymer blends']"
Alcoholic beverages,"['Alcohol', 'Liquor', 'Spirits', 'Beer', 'Wine', 'Distilled beverages', 'Fermented beverages', 'Ethanol-containing drinks', 'Booze', 'Alcoholic drinks', 'Brews', 'Potable alcohol', 'Hard liquor', 'Social beverages', 'Adult beverages']"
